subset_rank,system,policy,mean_H_subset
72,5498,R2_cand_5498,1.1215103989123805
73,3400,R2_cand_3400,1.1219054309516194
74,1674,R2_cand_1674,1.1226668850822499
75,3877,R2_cand_3877,1.123318280730628
76,1601,R2_cand_1601,1.1240895109915034
77,3564,R2_cand_3564,1.1246983101378871
78,3563,R2_cand_3563,1.1249381978651063
79,1168,R2_cand_1168,1.1256586015371306
80,1178,R2_cand_1178,1.1262099619579935
81,3805,R2_cand_3805,1.126523483073664
82,3878,R2_cand_3878,1.1273012522358616
83,5587,R2_cand_5587,1.128153985207104
84,1206,R2_cand_1206,1.1282276978015877
85,2897,R2_cand_2897,1.1291082522071019
86,1672,R2_cand_1672,1.129570105811106
87,1851,R2_cand_1851,1.1305236143189836
88,5489,R2_cand_5489,1.1306235600894579
89,4029,R2_cand_4029,1.1306281986448607
90,3887,R2_cand_3887,1.1307799094347564
91,1664,R2_cand_1664,1.1312405863798292
92,2671,R2_cand_2671,1.1318109480113023
93,1763,R2_cand_1763,1.1323493430577807
94,691,R2_cand_691,1.1326001028727637
95,728,R2_cand_728,1.1326980244805487
96,1186,R2_cand_1186,1.1327468994380814
97,3392,R2_cand_3392,1.1328615282242536
98,5327,R2_cand_5327,1.1329939913300855
99,3969,R2_cand_3969,1.133102535267272
100,1193,R2_cand_1193,1.1335155539350725
101,3888,R2_cand_3888,1.1337045971409747
102,1771,R2_cand_1771,1.1343836076984801
103,1364,R2_cand_1364,1.1348689858009897
104,5083,R2_cand_5083,1.1354804720311091
105,2672,R2_cand_2672,1.1357573995832957
106,3356,R2_cand_3356,1.1370785334659357
107,3320,R2_cand_3320,1.1370997520612596
108,1852,R2_cand_1852,1.1372503095531825
109,1843,R2_cand_1843,1.1374763757621642
110,3960,R2_cand_3960,1.1375110164037614
111,2895,R2_cand_2895,1.137673085117223
112,3402,R2_cand_3402,1.1380265575019703
113,628,R2_cand_628,1.1382527545258359
114,683,R2_cand_683,1.1382579294653516
115,1863,R2_cand_1863,1.1383581112185626
116,1167,R2_cand_1167,1.1385479083365606
117,1201,R2_cand_1201,1.1386687975500704
118,707,R2_cand_707,1.1392370041967805
119,1850,R2_cand_1850,1.1399858666970006
120,1854,R2_cand_1854,1.1400832960181115
121,5336,R2_cand_5336,1.1402593456212984
122,4031,R2_cand_4031,1.1402966667574914
123,3875,R2_cand_3875,1.140718363558855
124,3876,R2_cand_3876,1.140748452298518
125,1367,R2_cand_1367,1.1410984305920513
126,1295,R2_cand_1295,1.1418135367132973
127,1930,R2_cand_1930,1.1423431055829072
128,3885,R2_cand_3885,1.1430330531318316
129,3391,R2_cand_3391,1.1437550044139386
130,5335,R2_cand_5335,1.1445611961629942
131,1366,R2_cand_1366,1.1453244164049938
132,3959,R2_cand_3959,1.145354257010877
133,5344,R2_cand_5344,1.145511729247449
134,2826,R2_cand_2826,1.1462725867320698
135,708,R2_cand_708,1.1463305684677256
136,682,R2_cand_682,1.146743088564552
137,970,R2_cand_970,1.1468020536188925
138,3393,R2_cand_3393,1.1472690872151794
139,2653,R2_cand_2653,1.1476253976970265
140,5102,R2_cand_5102,1.147754353603169
141,1671,R2_cand_1671,1.1479598015347328
142,1853,R2_cand_1853,1.1481637528206683
143,5507,R2_cand_5507,1.1483236679832773
144,3884,R2_cand_3884,1.1485228960077927
145,1357,R2_cand_1357,1.1486849220912925
146,1377,R2_cand_1377,1.1489524846736576
147,1285,R2_cand_1285,1.148977694084715
148,1269,R2_cand_1269,1.1492475835503084
149,637,R2_cand_637,1.1496808225768889
150,1215,R2_cand_1215,1.1500612840957105
151,1841,R2_cand_1841,1.1505049186918954
152,1619,R2_cand_1619,1.1506716698791128
153,1373,R2_cand_1373,1.1512082525703886
154,3303,R2_cand_3303,1.1512577676941842
155,3860,R2_cand_3860,1.1515685628285666
156,3474,R2_cand_3474,1.1516590117763976
157,3796,R2_cand_3796,1.151855460102303
158,3389,R2_cand_3389,1.1530979180433492
159,3131,R2_cand_3131,1.1535807932884254
160,2905,R2_cand_2905,1.1536042428381736
161,1770,R2_cand_1770,1.1537714374382357
162,1862,R2_cand_1862,1.153837027516015
163,3546,R2_cand_3546,1.1538888452286562
164,3364,R2_cand_3364,1.154269547849056
165,3319,R2_cand_3319,1.1552147642279995
166,3850,R2_cand_3850,1.1557026008890559
167,3787,R2_cand_3787,1.1560543053560182
168,475,R2_cand_475,1.1563248441330845
169,3382,R2_cand_3382,1.1563263539404338
170,4841,R2_cand_4841,1.1563303930076199
171,1825,R2_cand_1825,1.1566481599284741
172,716,R2_cand_716,1.157467711222483
173,1213,R2_cand_1213,1.157472863625753
174,717,R2_cand_717,1.158442140767155
175,1115,R2_cand_1115,1.158485224150327
176,3483,R2_cand_3483,1.1592075632147107
177,1610,R2_cand_1610,1.1595161802107943
178,1762,R2_cand_1762,1.1596638332024969
179,3968,R2_cand_3968,1.1597907091378632
180,3383,R2_cand_3383,1.159986859702989
181,1124,R2_cand_1124,1.1601366412933534
182,3861,R2_cand_3861,1.1602502276965803
183,1618,R2_cand_1618,1.160376850057653
184,2896,R2_cand_2896,1.1605219874281452
185,3851,R2_cand_3851,1.1605461980451506
186,1214,R2_cand_1214,1.1605885068396438
187,1294,R2_cand_1294,1.1609996918043852
188,6030,R2_cand_6030,1.1612854783978106
189,3473,R2_cand_3473,1.1616406441173028
190,1842,R2_cand_1842,1.161844096449355
191,3310,R2_cand_3310,1.16195231369907
192,3870,R2_cand_3870,1.1623087826633622
193,5567,R2_cand_5567,1.1624143576480146
194,4858,R2_cand_4858,1.1626316873250369
195,5570,R2_cand_5570,1.1638614521061696
196,2915,R2_cand_2915,1.1642130142667957
197,3390,R2_cand_3390,1.1642382667336606
198,3841,R2_cand_3841,1.1644734810301953
199,3374,R2_cand_3374,1.1645980408249368
200,1844,R2_cand_1844,1.164813119649864
201,1356,R2_cand_1356,1.1649011735726174
202,1358,R2_cand_1358,1.1649560224102609
203,1203,R2_cand_1203,1.1651947532333269
204,1365,R2_cand_1365,1.1654334032615044
205,4041,R2_cand_4041,1.1656110771635513
206,3866,R2_cand_3866,1.165849290387081
207,3482,R2_cand_3482,1.1663649747664522
208,1628,R2_cand_1628,1.1667925240206838
209,1212,R2_cand_1212,1.166945313576931
210,3842,R2_cand_3842,1.1669758055998138
211,3464,R2_cand_3464,1.1675800584305875
212,2824,R2_cand_2824,1.1690948210005496
213,1359,R2_cand_1359,1.1697893270353326
214,1782,R2_cand_1782,1.1698024051486269
215,5003,R2_cand_5003,1.1698482066490343
216,1861,R2_cand_1861,1.1702081259872148
217,3366,R2_cand_3366,1.170759232050482
218,726,R2_cand_726,1.170895386068739
219,681,R2_cand_681,1.170911956535255
220,1764,R2_cand_1764,1.1709597671664385
221,1142,R2_cand_1142,1.1709757308229976
222,3380,R2_cand_3380,1.171006591347643
223,1355,R2_cand_1355,1.1711007191031806
224,3373,R2_cand_3373,1.1714451123803675
225,1826,R2_cand_1826,1.1716362740656863
226,1276,R2_cand_1276,1.1720641203265736
227,5508,R2_cand_5508,1.1723776478312211
228,715,R2_cand_715,1.1725735722718347
229,1287,R2_cand_1287,1.1726247022991314
230,4850,R2_cand_4850,1.1732261075884511
231,2907,R2_cand_2907,1.1734110266605413
232,3544,R2_cand_3544,1.1734791648469831
233,3554,R2_cand_3554,1.1741621096720654
234,3321,R2_cand_3321,1.1744589427569896
235,5985,R2_cand_5985,1.1745888232733765
236,3806,R2_cand_3806,1.1746680950963753
237,3140,R2_cand_3140,1.1748041000373508
238,1211,R2_cand_1211,1.1754493240111743
239,6073,R2_cand_6073,1.1756783819497696
240,1915,R2_cand_1915,1.1759827492021022
241,6074,R2_cand_6074,1.1767757936066348
242,2833,R2_cand_2833,1.1767968893833758
243,1176,R2_cand_1176,1.176839552633094
244,1780,R2_cand_1780,1.1772530489592592
245,2906,R2_cand_2906,1.1774675834238484
246,1184,R2_cand_1184,1.1775393687898315
247,1673,R2_cand_1673,1.1777372122603156
248,1818,R2_cand_1818,1.1778321155715392
