replication,seed,warmup_weeks,elapsed_week,measured_weeks,scheduled_count,completed_count,unscheduled_count,unscheduled_count_total,Z1_wait_time,Z2_overtime,Z3_congestion,H_raw,H_analysis,used_for_analysis
1,123,24,25,4,38,38,11,12,38079.00845906174,3.3118557347979123,5.0,1.3316003703770136,1.3316003703770136,True
1,123,25,26,4,37,37,12,20,31963.483154734204,4.098182146400722,4.0,1.2035016424670308,1.2035016424670308,True
1,123,26,27,4,31,31,10,14,36433.72570892043,4.422829145369421,3.0,1.195994868964679,1.195994868964679,True
1,123,27,28,4,30,30,17,22,41650.27018196106,2.628289954888411,4.0,1.230058883622636,1.230058883622636,True
1,123,28,29,4,41,41,17,22,32619.072824125225,4.226395008339993,3.0,1.1235144700738249,1.1235144700738249,True
1,123,29,30,4,38,38,24,26,35330.288098261764,2.713663364661625,4.0,1.142841403968492,1.142841403968492,True
1,123,30,31,4,44,44,18,23,66088.33410052091,3.503528735085274,5.0,1.763739651493145,1.763739651493145,True
1,123,31,32,4,32,32,19,26,53431.6431200927,3.616088031510299,4.0,1.4844007794269651,1.4844007794269651,True
1,123,32,33,4,26,26,14,18,93675.8536461319,3.419491725777819,5.0,2.1675452554153787,2.1675452554153787,True
1,123,33,34,4,32,32,6,12,16807.50002000737,3.373745667912347,5.0,1.0200112608735736,1.0200112608735736,True
1,123,34,35,4,25,25,6,10,31761.296962843207,1.970192607006902,4.0,1.0302537562219096,1.0302537562219096,True
1,123,35,36,4,27,27,13,15,43555.88210603592,3.585960406525798,5.0,1.4350298400523602,1.4350298400523602,True
1,123,36,37,4,22,22,20,26,59864.81249482072,2.203652659867415,4.0,1.4671376368194635,1.4671376368194635,True
1,123,37,38,4,32,32,6,8,26210.300100008117,4.113777540717517,4.0,1.1191364309360936,1.1191364309360936,True
1,123,38,39,4,31,31,33,39,78393.18009449821,3.5534244285345875,4.0,1.850839134260419,1.850839134260419,True
1,123,39,40,4,33,33,35,40,78340.96241472021,3.096497464534574,4.0,1.8135079283341975,1.8135079283341975,True
1,123,40,41,4,42,42,35,39,123748.44489042807,3.893887739006459,5.0,2.6530057347518867,2.6530057347518867,True
1,123,41,42,4,29,29,23,36,153622.14137881147,3.7504087135753554,4.0,2.9860764676040557,2.9860764676040557,True
1,123,42,43,4,23,23,19,29,36056.75782245946,2.9435123740763327,5.0,1.2720398860936581,1.2720398860936581,True
1,123,43,44,4,31,31,20,30,47398.425517638076,5.557932576903598,5.0,1.6499683192123782,1.6499683192123782,True
1,123,44,45,4,26,26,27,31,46286.64915176143,3.5919878508439678,4.0,1.376148449968729,1.376148449968729,True
1,123,45,46,4,44,44,36,45,57267.74726124203,4.799108318432263,5.0,1.7361272854335397,1.7361272854335397,True
1,123,46,47,4,31,31,42,49,136159.57514805734,5.372964330451456,4.0,2.856021300425065,2.856021300425065,True
