policy_name,replication,timetable,num_weeks,warmup_weeks,total_sim_weeks,scheduled_count,completed_count,unscheduled_count,unscheduled_count_total,mean_prep_duration,mean_booking_wait,mean_lateness,mean_procedure_duration,Z1_wait_time,Z2_overtime,Z3_congestion,H,total_overtime_min,lunch_overtime_min,after_hours_overtime_min
R1_c5d534fd_SubsetKN,96,R1_placeholder,180,20,200,2391,2391,59,59,11367.05837207896,7189.724872507896,55.40730440368307,79.3123567844143,7.726128153260097,4.493323488174247,4.0,0.9250257680523705,48527.893672281876,19901.324184153083,28626.569488128793
R1_c5d534fd_SubsetKN,97,R1_placeholder,180,20,200,2429,2429,16,16,10796.712878228302,5599.701764587423,54.95190761241322,78.55561408463514,4.310686918645279,4.402047818323853,4.0,0.8445356880083071,47542.11643789761,19724.12087604872,27817.99556184889
R1_c5d534fd_SubsetKN,98,R1_placeholder,180,20,200,2648,2648,24,24,10406.404434261813,15791.809437994265,55.08437950022903,78.39936622355941,12.101243492143276,4.849423849455065,4.0,1.0472662685023324,52373.777574114705,21901.786906684283,30471.990667430422
R1_c5d534fd_SubsetKN,99,R1_placeholder,180,20,200,2563,2563,10,10,11680.545582448014,18553.471482676974,54.342466750623785,79.13471123514854,13.35620513656399,4.818138239413939,4.0,1.071655454936629,52035.892985670536,21780.629740394797,30255.26324527574
R1_c5d534fd_SubsetKN,100,R1_placeholder,180,20,200,2300,2300,44,44,11430.819007527705,6408.488827866419,56.23089693400601,80.17650129191065,7.539454201298027,4.346832192021455,4.0,0.9093063082466741,46945.78767383171,18564.17909441481,28381.608579416905
R2_effc06e5_SubsetKN,1,R2_placeholder,180,20,200,2433,2433,13,13,10716.277880219317,3432.602344512278,55.411800655888754,79.0430563674359,2.869699335584242,5.888521919734705,5.0,1.0325753107698672,63596.036733134824,20251.646014740778,43344.39071839405
R2_effc06e5_SubsetKN,2,R2_placeholder,180,20,200,2553,2553,11,11,11152.631012760496,4771.838850427331,56.30499102057511,78.2431542492293,3.7213700860526013,6.099997791713351,5.0,1.0677434680381952,65879.9761505042,20852.183800703322,45027.792349800875
R2_effc06e5_SubsetKN,3,R2_placeholder,180,20,200,2536,2536,14,14,11457.713890037807,4225.568529631403,54.96955853701643,78.31398218674461,4.09273889952291,5.738955856003016,5.0,1.046818016327161,61980.72324483257,20860.893449795694,41119.82979503687
R2_effc06e5_SubsetKN,4,R2_placeholder,180,20,200,2470,2470,19,19,12039.329393014865,4150.5005120408405,54.764400603391536,76.58498997640977,4.0722459164643885,5.394794977618844,5.0,1.018846010705173,58263.78575828351,19802.411336254037,38461.374422029476
R2_effc06e5_SubsetKN,5,R2_placeholder,180,20,200,2361,2361,28,28,12322.413381364482,3276.333342953983,56.15973566435525,79.00303154679982,3.4898967674137205,5.69703810061071,5.0,1.0305465502077222,61528.01148659567,19994.50103164272,41533.51045495295
R2_effc06e5_SubsetKN,6,R2_placeholder,180,20,200,2586,2586,10,10,12063.724523867813,4375.216872946133,56.46068546769038,79.20736699218722,3.4229726888115066,6.24975079455174,5.0,1.0733294783243856,67497.30858115878,20693.58854180714,46803.72003935164
R2_effc06e5_SubsetKN,7,R2_placeholder,180,20,200,2486,2486,14,14,11581.766476667473,4001.654278727156,54.94172848536512,78.72603526357184,3.5364995660270337,5.931455019915458,5.0,1.0502985351509588,64059.71421508695,20367.509014434647,43692.2052006523
R2_effc06e5_SubsetKN,8,R2_placeholder,180,20,200,2429,2429,30,30,11354.132219419704,3942.9723681976293,55.7476891064179,79.03427743222227,4.1380326552507976,5.729249265060223,5.0,1.0470120695316207,61875.89206265041,20629.022781165433,41246.86928148498
R2_effc06e5_SubsetKN,9,R2_placeholder,180,20,200,2523,2523,15,15,11823.565202770716,4363.884363629512,55.787357233447494,80.33980586835254,3.645707527433498,6.17983486580407,5.0,1.0725090934236148,66742.21655068395,20369.932153133996,46372.284397549956
R2_effc06e5_SubsetKN,10,R2_placeholder,180,20,200,2656,2656,19,19,11683.911045961873,5749.953457765264,55.24906263129604,78.12840777090197,4.979141096238619,6.224314455555903,5.0,1.104641037078157,67222.59612000376,21617.82059884022,45604.77552116354
R2_effc06e5_SubsetKN,11,R2_placeholder,180,20,200,2371,2371,15,15,11119.954491753104,3206.751164142053,57.347640677130244,79.88525502333329,2.5767026100494883,5.874251379398584,5.0,1.0251551662815186,63441.9148975047,20067.073022287717,43374.84187521698
R2_effc06e5_SubsetKN,12,R2_placeholder,180,20,200,2534,2534,15,15,11625.921375783219,5355.427953806972,55.28319010770812,78.85386714878364,4.235625753079916,5.94086164858193,5.0,1.066032340881124,64161.305804684845,20284.068204484123,43877.23760020072
R2_effc06e5_SubsetKN,13,R2_placeholder,180,20,200,2433,2433,17,17,10800.759541792626,3424.424505604319,53.719776396844956,77.32432364359329,2.6920976642514374,5.473705661555022,5.0,0.995584260015504,59116.02114479424,19138.059999642108,39977.961145152134
R2_effc06e5_SubsetKN,14,R2_placeholder,180,20,200,2494,2494,27,27,10596.080454467447,5308.47872200679,55.65935524403145,79.169366281866,4.7210312314818355,6.012134209584295,5.0,1.0821356917270686,64931.0494635104,20494.735941846884,44436.31352166351
R2_effc06e5_SubsetKN,15,R2_placeholder,180,20,200,2504,2504,21,21,10344.36587979324,4103.89844777085,55.50266133477803,77.29165836209793,3.772191221181788,5.5961077816183495,5.0,1.0285212915547919,60437.964041478175,20977.886121914344,39460.07791956383
